120,花瓣 4-6，花萼不附生于子房上,罂粟科Papaveraceae
120,花瓣 3-5，花萼附生子房上,虎耳草科 Saxifragaceae
121,花不整齐,122
121,花整齐或近整齐,126
122,攀援或匍匐草本,123
122,直立草本、灌木或乔木,124
123,果实为膨胀膜质蒴果；叶为二回三出复叶,无患子科Sapindaceae
123,果实为不开裂的蒴果；叶为单叶，盾形,旱金莲科Tropaeolaceae
124,多水汁的草本；下面萼片有距，蒴果裂成 5 个卷曲的肉质裂瓣；叶为互生单叶,凤仙花科 Balsaminaceae
124,乔木，花、果实与上科不同；叶为羽状或掌状复叶,125
125,叶为对生掌状复叶,七叶树科Hippocastanaceae
125,叶为互生羽状复叶,无患子科Sapindaceae
126,雄蕊不与花瓣同数，也不为其 2 倍,127
126,雄蕊与花瓣同数或为其 2 倍,129
127,草本；花瓣 4；雄蕊 6 枚，4 长 2 短,十字花科 Cruciferae
127,乔木、灌木或藤本,128
128,果实为有 2 翅的翅果；雄蕊 3-12 枚，全数发育,槭树科 Aceraceae
128,果实为浆果，无翅，发育雄蕊仅2 枚；单叶或为羽状复叶,清风藤科Sabiaceae
129,子房每室有 1-2 颗胚珠,130
129,子房每室有数颗最多数胚珠,141
130,草本植物,131
130,木本植物,135
131,雌雄花同株或异株；子房 3 室,大戟科 Euphorbiaceae131,花两性,132
132,蒴果有长芒状花柱；成熟心皮自中轴分离，自基部向上卷成扭捩,牻牛儿苗科Geraniaceae
132,果实非上列性状,133
133,花药顶孔开裂；胚珠多数,鹿蹄草科Pyrolaceae
133,花药直裂；子房每室通常有 2 颗胚珠,134
134,单叶；果实为蒴果或浆果,亚麻科Linaceae
134,羽状复叶或叶呈不规那么割裂；果实为蒴果，开裂或不开裂 ,蒺藜科Zygophyllaceae
135,叶为单叶,136
135,叶为复叶,140
136,叶具掌状叶脉；果实为有 2 翅的翅果,槭树科 Aceraceae
136,叶具羽状叶脉,137
137,果实为核果,138
137,果实为翅果或蒴果,139
138,子房 3 最多室；乔木或直立灌木,冬青科Aquifoliaceae
138,成熟心皮 1-2 个，向一面膨胀，有 1 近基生花柱；藤本,清风藤科Sabiaceae
139,果实为由心皮连合成的有 3 翅的翅果；雄蕊 5 枚,卫矛科 Celastraceae
139,果实为蒴果,卫矛科 Celastraceae
140,果实为有 2 翅的翅果，花单性，稀两性，子房 2 室，每室含 2 颗胚珠；叶对生,槭树科 Aceraceae
140,果实为核果状浆果或蒴果；花两性，子房2-5 室，每室含 1 最多数胚珠，雄蕊连合成筒状；叶互生,楝科 Meliaceae
141,叶为复叶,142
141,叶为单叶,145
142,叶为指状复叶，有 3 小叶；果实为蒴果,酢浆草科 Oxalidaceae
142,叶为羽状或三出复叶，或只有 1 小叶,143
143,果实肉质，有 3,5 角棱的大浆果,酢浆草科 Oxalidaceae
143,果实为无角棱的大浆果,144
144,叶为二、3 回三出或指状复叶；果实为蒴果；草本,虎耳草科Saxifragaceae
144,叶为一回羽状复叶或只有 1 小叶；果实为蒴果或角果；乔木或灌木,省沽油科Staphyleaceae
145,叶对生；花萼有长筒；花瓣着生花萼筒上；子房3 室,千屈菜科 Lythraceae
145,叶互生；萼片不连合成筒；花瓣着生花托上,146
146,花为 4 基数，成穗状或总状花序,旌节花科Stachyuraceae
146,花为 5 基数，单生或成伞房花序,海桐科Pittosporaceae
147,子房每室有 2 颗最多数胚珠,148
147,子房每室有 1 颗胚珠,151
148,子房 1 室,149
148,子房 2 最多室；雄蕊着生花萼上,150
149,草本植物；胚珠多数，着生中轴胎座上,虎耳草科Saxifragaceae
149,木本植物；花瓣小于萼片或呈鳞片状，有时退化成单性，或花瓣大于萼片；雄蕊4–6枚,虎耳草科 Saxifragaceae
150,花柱单 1；子房下位；花常单生,柳叶菜科Oneotheraceae
150,花柱 2 或较多,虎耳草科 Saxifragaceae
151,雄蕊 5 或 10 枚；花两性，成伞房花序、总状花序、圆锥状复伞形或头状花序；子房下位，1-5 室,152
151,雄蕊二、4 至 8 枚,153
152,果实为浆果状；多为木本植物,五加科Araliaceae
152,果实为 2 干燥心皮，形成双悬果，常有油管；多为草本植物,伞形科 umbelhferae
153,果实为核果，有时连合成头状复果，花序有时托以花瓣状总苞片,山茱萸科Cornaceae
153,果实非核果状,154
154,陆生木本植物；果实为具 2 室的木质蒴果；花成总状穗状花序或头状花序,金缕梅科 Hamamelidaceae
154,水生草本植物，有漂浮叶；果实为具2或4刺，或2角的坚果,菱科Hydrocaryaceae
155,花单性；果实为浆果，每室有一、2 颗种子,柿树科 Ebenaceae
155,花两性,156
156,雄蕊较花冠裂片多,157
156,雄蕊不较花冠裂片多,161
157,雄蕊不着生花冠上,158
157,雄蕊着生花冠上,159
158,无叶寄生草本；花瓣 3-6 片，分离或下部连合,鹿蹄草科 Pyrolaceae
158,有叶灌木或小乔木；花冠合瓣；雄蕊常有尾，花药顶孔开裂,杜鹃花科 Ericaceae
159,雄蕊基部连合成筒或成束,160
159,雄蕊基部不连合；花药顶孔开裂；子房下位；果实为浆果或核果,杜鹃花科Ericaceae
160,雄蕊多数，连合成数束,山矾科Symplocaceae
160,雄蕊为花冠裂片的倍数，常部份连合成筒，植物有星芒状毛,野茉莉科Styracaceae
161,雄蕊与花冠裂片同数而对生，有时具退化雄蕊,162
161,雄蕊与花冠裂片同数而互生，或较少,164
162,子房有 1 颗胚珠，果实有1 颗种子；花萼有显著的肋脉,蓝雪科Plumboginaceae
162,子房有数颗最多数胚珠；果实有数颗最多数种子,163
163,草本；叶多基生；果实为蒴果,报春花科Primulaceae
163,木本；叶多互生；果实为浆果状或核果状,紫金牛科Myrsinaceae
164,子房上位,165
164,子房下位,190
165,花冠整齐或近整齐，不成 2 唇裂,166
165,花冠不整齐，成 2 唇裂,184
166,花冠裂片与雄蕊同数,167
166,花冠裂片少于雄蕊,182
167,子房 1 个，深裂，或多于 1 个,168
167,子房 1 个，4 浅裂,170
